Aalter trein,Aarschot trein,Antwerpen trein,Brugge trein,Brussel trein,Denderleeuw trein,Dendermonde trein,Diest trein,Gent trein,Halle trein,Hasselt trein,Kortrijk trein,Landen trein,Leuven trein,Lier trein,Lokeren trein,Liège-Guillemins trein,Mechelen trein,Namur trein,Oostende trein,Ottignies trein,Tienen trein,Vilvoorde trein,Waregem trein
0,7,16,2,44,0,0,0,26,0,3,35,0,2,23,30,0,15,0,65,0,0,0,0
0,0,12,6,56,0,0,0,15,24,0,24,0,3,47,31,15,11,0,40,0,0,0,0
31,8,14,3,69,0,0,0,42,0,3,24,0,3,0,0,0,8,0,27,0,0,0,0
0,0,14,4,44,0,0,0,0,28,4,28,0,2,0,36,17,0,0,54,0,0,0,0
0,0,17,8,73,0,0,0,35,28,5,28,0,2,0,72,9,17,0,54,0,0,0,0
20,0,12,7,47,0,0,0,25,23,3,46,0,2,23,61,0,7,0,49,0,0,0,0
0,7,11,5,48,0,0,0,18,0,3,35,0,2,0,31,7,7,0,78,0,0,0,0
20,7,14,2,48,0,0,0,18,23,2,47,0,3,0,0,0,7,0,59,0,0,0,0
0,7,12,2,66,0,0,0,26,0,3,35,0,2,23,0,7,7,0,59,0,0,0,0
21,0,14,5,58,0,0,0,23,0,2,0,0,2,0,32,0,23,0,21,0,0,0,0
0,0,13,3,53,0,0,0,35,0,4,37,0,4,56,0,18,13,0,39,0,0,0,0
0,0,22,2,52,0,0,0,17,0,3,0,0,3,28,36,9,9,0,62,0,0,0,0
0,0,19,6,73,0,0,0,33,0,3,46,0,3,35,60,15,7,0,65,0,0,0,0
0,0,15,3,69,0,0,0,25,0,0,0,0,2,0,61,18,7,0,65,0,0,30,0
0,0,19,6,47,0,0,0,22,0,3,35,0,4,0,30,14,15,0,52,0,0,0,0
20,0,22,4,52,0,0,0,22,0,2,24,0,2,24,0,11,19,0,53,0,0,0,0
0,8,13,5,72,0,0,0,27,0,3,24,0,2,24,31,0,19,0,54,0,0,0,0
0,0,11,6,52,0,0,0,26,0,2,83,0,4,28,0,17,13,0,62,0,0,36,0
0,0,15,6,47,0,0,0,30,0,6,27,0,4,0,0,9,17,0,100,0,0,0,0
0,0,22,3,65,0,0,0,19,0,3,48,0,3,0,0,11,15,0,81,0,0,32,0
20,7,17,3,51,0,0,0,55,23,3,39,0,2,0,30,15,44,0,84,0,0,0,0
0,0,13,3,44,0,0,0,11,23,3,35,0,3,47,0,7,7,0,46,0,0,30,0
0,0,13,3,59,0,0,0,37,0,3,35,0,2,23,0,7,18,0,66,0,0,0,0
20,0,11,2,76,0,0,0,27,24,4,0,0,3,0,0,11,8,0,40,0,0,31,0
0,0,10,3,29,0,0,0,46,27,2,40,0,0,27,0,0,17,0,90,0,0,35,0
0,17,20,3,50,0,0,0,13,0,4,27,0,4,0,0,0,0,0,22,0,0,0,0
